,TextDescription,Severity,EncodedSeverity
74,OpenJ9: Git doesn't work on windows nodes after migration,major,2
75,PEParser doesn't parse 64 bit executables correctly,normal,4
76,[13] 2 JDT UI tests failing in the Y-Build Y20190812-0900,normal,4
78,[release] ee4j.cdi 2.0.0,normal,4
79,"The ""ฏู"" character is truncated vertically in a Label on Mac OS",minor,3
80,[impl] JavaCore.getAllVersions() should return an immutable list (or a copy),normal,4
81,The check for Git-based projects seems to be too generic,normal,4
82,[formatter] UI changes related to blank lines settings,normal,4
83,"unresolved inclusion ""Arduino.h""' problem might be due to incorrect source files?",blocker,0
84,Integrate features from the generic editor,normal,4
85,two breakpoint at single line when debug executable file compiled by gcc8.1,normal,4
86,UI freezes when opening/modifying/closing any Servlet or ServletContextListener,normal,4
87,Provide access ci access to Jakarta EE Specification Committee,normal,4
88,ssh access hangs with no error on https://ci.eclipse.org/jakartaee-spec-committee/job/promote-release,normal,4
89,URISyntaxException if AUT Location contains Spaces,normal,4
90,Eclipse ignores -vm setting in eclipse.ini if restarted.,normal,4
91,org.eclipse.jdt.compiler.apt.tests needs version increase,normal,4
92,[Dark Theme] Sash is bright in forms,normal,4
93,Update platform to Jetty 9.4.20,normal,4
94,Add constructor to FilteredItemsSelectionDialog to activate useHashCode and deprecate the others,normal,4
95,C/C++ formatter eats whitespace if function declaration includes macro resulting in joined method+macro name,normal,4
96,[release] technology.passage 0.6.0,normal,4
97,[release] technology.reddeer 2.7.0,normal,4
98,Closing the tree in Project Explorer should scroll to the correct top level element (Project),normal,4
99,program outline disappears when debugging,normal,4
100,[Quicksearch] Strings not externalized,major,2
101,Remove outdated target milestones for Eclipse top level project,normal,4
102,Offer a way to add language servers via a preference page,normal,4
103,Text Selection in not editable CDateTime Widget should be as simple text selection,normal,4
104,[13][quick fix] Text Block: No Quick fix to enable preview feature when using text block,major,2
105,Align Resource perspective with Java (and other) perspectives,normal,4
106,"[13] Text Block: Return after """""" should align below """"""",normal,4
107,"[13] Text Block: Return after """""" place caret on next line not after """""";",normal,4
108,"[13] Text Block: Closing """"""; should not be added if auto-close String preference is off",normal,4
109,Please reset (clear) the new repository org.eclipse.app4mc.addon.migration,normal,4
110,junit tests are failed on Windows,normal,4
112,[13] Text Block: Cumbersome to enter a text block into the editor,normal,4
113,JGit doesn't work if SecurityManager is enabled,normal,4
114,Codewind PR allow merge without a review approval as a prereq,normal,4
115,"""JRE missing"" installation page links to JDK downloads on some of its ""Oracle JRE"" links",major,2
116,Developer Mailing list for Proj4J project,normal,4
117,"""JRE missing"" installation page touts Eclipse IDE 2019-03 as latest",minor,3
118,UI freeze in PreferenceDialog / FilteredPreferenceDialog,normal,4
119,"Eclipse for PHP Developers creates shortcut named ""Eclipse Php Latest Released""",major,2
120,Deferred context updates not working properly due to unordered handling,normal,4
121,https://repo.locationtech.org/ is unavailable,normal,4
122,Eclipse is constantly freezing,major,2
123,Update FilteredTree usage to use setUseHashlookup,normal,4
124,Update Show View tree usage to use setUseHashlookup,normal,4
125,[terminate] modeling.pmf,normal,4
126,[cleanup] Remove redundant array creation,normal,4
127,"Community product description calls bugs.eclipse.org ""Bugzilla""",normal,4
128,"""Community"" product's name is misleading",normal,4
129,I-Build (I20190815) failed as SWT build step didn't complete,normal,4
130,Provide service to notarise Mac app,normal,4
131,Improve startup time (performance ) of the Eclipse SDK 4.14,normal,4
132,[13] Merge issues with BETA branch: Impact of PreviewEnabled check in DOM on JDT UI,normal,4
133,code recommenders cannot download model repository index,normal,4
134,PDE validation dialog should also be centered,normal,4
135,Eclipse release notes are hard to find,normal,4
137,very high Ram consumption on Mac os,normal,4
138,ChemClipse switch to default branch: develop,normal,4
139,Resource already exists on disk error in the log,normal,4
140,Add Smart import wizard to quicklinks in project explorer,normal,4
141,UI freeze during compare,normal,4
142,SWTBotToolbarDropDownButton#menuItem(...) very unreliable in Wayland,normal,4
143,Use action orientated label for closing events dialogs,normal,4
144,Can't connect to update sites using basic auth,normal,4
145,UI freeze in NewKeysPreferencePage,normal,4
146,"After opening a new Console, SWTKeyboardStrategy cannot type there",normal,4
147,Port mylyn's ControlListViewer and ControlListItem to platform,normal,4
149,Use TableViewer in QuickAccessContents instead of Table,normal,4
150,Performance regression in GenericPatternMatch positional accessors,normal,4
151,What to do when a product-component bugs are not replied/attended to?,major,2
152,Error caused when trying to call class methods,major,2
153,Update Liberty server adapter discovery update site URL for 2019-06,normal,4
154,[code completion] StackOverflowError in code completion for inner classes within lambdas,major,2
155,CSS in Jenkins job attached files,normal,4
156,Undesirable Markers From LSP4E,normal,4
157,Failure exporting a feature for Java1.8 which has plugins requiring packages that are removed in Java-12,major,2
158,"Debugging is stuck when ""command abort"" occurs on step return",normal,4
159,[language] Support contextual classes,normal,4
160,Multi-threaded object marking can give incorrect results on OOME,normal,4
161,[pivot] Avoid inter-project URI navigation from deresolve,normal,4
165,Source for feature not found if it is included as a subfeature,normal,4
167,Changes in Formating profiles are thrown away after restarting eclipse,major,2
168,MalformedURLException launching plugin JUnit test for debug,normal,4
169,Named modules not picked up at runtime,normal,4
170,Eclipse leaking memory,critical,1
171,NPE when an invalid package is exported or opened,normal,4
172,NoClassDefFoundError: org/eclipse/ui/quickaccess/IQuickAccessComputerExtension,normal,4
173,Tests may fail with outdated document content,normal,4
174,Java doc warning in the build I20190816-0155,normal,4
175,"Adding filter for API tools problem ""The re-exported type package.ClassName in PluginB_1.0.0 is no longer API"" doesn't work",normal,4
176,Eclipse only issues a warning for name collision but Javac reports an error,normal,4
177,Eclipse 4.13 prerequisites for M3: ECF,normal,4
178,Eclipse 4.13 prerequisites for RC1: EMF,normal,4
179,Eclipse 4.13 prerequisites for M3: Orbit,normal,4
180,Class Cast exception when moving Class on Class Diagram,normal,4
181,ApiAnalyzer flags false positive error due to extension point schema include,normal,4
182,Compatibility check prohibits installation,normal,4
183,org.eclipse.equinox.p2.artifact.checksums.bouncycastle has no src folder,normal,4
184,"[Designer, Components] Fix issues in connector reification",normal,4
186,Activate Azure DevOps integration for eclipse/antenna github project,normal,4
187,Debug view collapses all content if hidden,normal,4
188,Reduce wait time in runtime process termination,normal,4
189,org.eclipse.tycho.p2.impl.publisher.P2GeneratorImpl.getProductFiles(File) should ignore polyglot files,normal,4
190,UI freeze in JavaOutlineInformationControl,normal,4
191,Enabling Google Analytics for the OpenJ9 project,normal,4
192,New JACC maven coordinates,normal,4
193,"""Dirty"" flag appears when opening PDF file",normal,4
194,"[Passage] provide tutorial ""Create Licensed RCP""",critical,1
195,[Py4J] Large integers throw when used in script shell,normal,4
196,[API Analysis application] Exceptions return success,major,2
197,Performance#assertPerformanceInRelativeBand should be static,normal,4
198,Use varargs in Evaluator#setAssertCheckers,normal,4
199,org.eclipse.tycho.core.osgitools.EclipseRepositoryProject.getProductFiles(MavenProject) should ignor polyglot files,normal,4
200,[IoTML] Missing RCP icons and essential features,normal,4
201,Provide reliable way to measure startup performance,normal,4
202,Improve interactive performance of the Eclipse SDK 4.14,normal,4
203,NPE in TopoSortGenerator,normal,4
204,Remove try catch block in StructuredViewer,normal,4
205,"[Designer, releng] Create a 2019-06 target platform",normal,4
206,Unable to run Bugzilla Manager on 'modeling.mmt.qvt-oml',normal,4
207,PROXY server is not honoured by Eclipse,normal,4
208,[Java Editor] Unknown character displayed when mouse-hovering over breadcrumbs,normal,4
209,Enable hashcode usage in DetailedProgressViewer (used in the Progress View),normal,4
210,[room.ui] Wrong quickfix for unresolved reference to port,normal,4
211,Promote failure and Stop on Error flags do not work on modern tests,major,2
212,CommandProviderAdapter service registration should have the same service.ranking than the adapted CommandProvider service,normal,4
213,Sometimes incomplete stack is shown for threads that were expanded before resume,normal,4
214,TeamAction getTargetPage() can return null,normal,4
215,Update wizard elements to use hash code lookup for viewers,normal,4
216,Use hash lookup in NewWizardNewPage,normal,4
217,[content assist] New proposal category may get enabled by default,normal,4
218,Assign resource pack to project Eclipse.platform,normal,4
219,Deleting multiple interdependent projects triggers builds which prevent deletion,normal,4
220,[release] ee4j.bean-validation 2.0.0,normal,4
221,[release] ee4j.batch 1.0.0,normal,4
222,[release] locationtech.geowave 1.0.0,normal,4
223,Change download page to use eclipse mirror script,normal,4
224,RCPTT complains when trying to use get-editbox on a content assist popup dialog,normal,4
225,4.13 I Build failed due to SWT Increment job failure for 20190819,normal,4
226,53 test failures in pde.api.tools.tests for Y20190819-0900,normal,4
227,14 test failures in template tests in PDE in Y build,normal,4
228,org.apache.commons.net jar is missing in the Eclipse Photon,normal,4
231,New Plug-in wizard should use hash lookup,normal,4
232,Mac native build taking very long,normal,4
234,[Examples] Decorator example is available even if the Papyrus examples are not installed,normal,4
235,ApiBaselinePreferencePage should use fast hash lookup,normal,4
236,Regression: F3 sometimes opens Java file in System rather than JDT editor,normal,4
237,CommitFileDiffViewer should use fast hash lookup,normal,4
238,Windows test machine is down,major,2
239,Remove ManifestBuilder and SchemaBuilder from API analysis,normal,4
240,Code completion help popups might stall the UI,normal,4
241,Error markers on Dependency tab,normal,4
242,In the generaded C code inherited operations are missing in extending DataClasses,normal,4
243,Release SWT Builder classes as API,normal,4
244,"""The method X can be made static"" ignores synchronized",normal,4
245,Sometimes a NPE in org.eclipse.ui.internal.monitoring.MonitoringStartup.earlyStartup(MonitoringStartup.java:37),normal,4
246,remote debugging multi-threaded application is extremely slow,major,2
247,Use fast tree lookup in debug launch config,normal,4
248,Update IDE e4 command templates to remove menu / command / handers if the plug-in is not present,normal,4
250,"""Searching..."" does not stop in Quick Search dialog",normal,4
251,CCE in Categorization with composite categories and a depth of 1,normal,4
252,Random build errors,normal,4
253,In Eclipse Photon Remote System Explorer and  FTPClient class is missing,blocker,0
254,UI freeze in Installed Software tab,normal,4
255,4diac IDE tycho build should generate download packages with the correct nameing,normal,4
256,NPE when opening Quick Outline,major,2
257,Toolbar rendered on wrong location when visible flag toggles,normal,4
258,[win32] No longer able to use an external class folder build path entry using a UNC path,normal,4
260,JFace Viewer should guard against null access in findItems if useHashLookup is used,normal,4
261,IDE e4 templates re-use xmi:id breaking uniqueness conventions,major,2
262,[13] Whitespace ignored at octal in text block,normal,4
263,Make it happen e4 product has missing dependency,normal,4
264,[release] technology.openj9 0.16.0,normal,4
265,M2 Installation fails macOS Catalina Security Check,normal,4
266,Add download stats generation for 4diac IDE update sites,normal,4
267,Missing logo on https://www.eclipse.org/ide/ for IDE Platforms,normal,4
268,[Components][releng] tycho surefire configuration explicitly depends on equinox.ds,normal,4
269,Please add all these items to events.eclipse.org,normal,4
270,[13] Create Patch (P) build for Java 13,normal,4
271,Display ports are not available on hippcentos attached to releng JIPP,blocker,0
272,No JadClipse menu option under Window/Preferences/Java,normal,4
274,.,normal,4
275,"[Quicksearch] Quicksearch dialog shows ""Searching..."" even when there are no search parameter",normal,4
276,Constant UI freezes with Error log view with specific log entries,normal,4
277,Lack of TypeSafeEnum#hashCode may lead to non-deterministic bytecode,normal,4
278,jgit hangs in FS.FileStoreAttributeCache,normal,4
279,Use concise text in discard all changes dialog,normal,4
280,Use concise text in reset dialog,normal,4
281,"Error log ""Maximum log size"" field is never enabled",normal,4
282,[ui] Improve usability of genmodel validation,normal,4
283,Context menu 'Create View Model Project' action fails to load ecore,normal,4
284,"Opening ""Customize perspective"" activates all (also invisible) action sets",normal,4
285,[13] AST.isPreviewEnabled() to also check for latest version followed by cleanup of preview enabled checks,normal,4
286,[Bug] The delete quick fix does not work,normal,4
287,error log while installing (error message) cant be installed,normal,4
290,Jakarta Stable release Jenkins jobs unable to access github,normal,4
292,[Core Build] allow toolchain to help set the name of the build config,normal,4
293,Unable to launch runtime Eclipse in 2019_06 on Mac with AdoptOpenJDK 11.4,normal,4
294,Synthetic $SWITCH_TABLE$ method being processed by compiler,normal,4
295,Declare 4.13 M3,normal,4
296,tycho-versions-plugin uses hard-coded polyglot file,normal,4
297,eclipse-jee-oxygen-R-linux-gtk-x86_64.tar.gz is not working,critical,1
300,Provide declarative project templates,normal,4
301,CVS server on hipp10 not accessible,normal,4
302,[Tests] Some tests are failing because of ProxyModificationTrackingAdapter,normal,4
303,[GTK] Intermittent test failure isFocusControl,normal,4
304,[mac] Rendering problem in Java editor views with long lines,normal,4
305,Junit test MenuVisibilityTest.testVisibilityTracksEnablement fails in nightly builds,normal,4
306,[Quicksearch] Entry selection in Quick Search dialog,normal,4
308,Junit test IEditorRegistryTest.testBug308894 fails in nightly build,normal,4
309,[UI Improvement] Rethink the selection change event handling,normal,4
310,[Model2Doc] make uniform the required dependencies version of the model2doc plugins,normal,4
311,[Model2Doc] provide a bundle tests plugin for Model2Doc,normal,4
313,if i enabled convert for loops to enhanced in code clean up i get this exception (in certain java files),normal,4
314,clean up: convert for loops to enhanced results in null pointer (in certain files),normal,4
315,Signing commits is too permissive when locating SecretKey,normal,4
316,Staging view freezes on commit (NPE in AbstractTextEditor$TextEditorSavable.isDirty),critical,1
317,Table Viewer using row template does not show the correct tooltip,normal,4
318,Generic type cache not update on EClasses,major,2
319,NullPointerException in CloneCommand#cleanup,normal,4
320,[Dark Theme] Scale has bright background on CTabFolder,normal,4
321,"CI-Build fails with ""Invalid target platform location: /tmp/genie.tycho/tycho-ci/win32/3.6.2/eclipse""",blocker,0
322,pgm: support --not option in rev-list and log commands,normal,4
323,Break point stopped working in debug mode,critical,1
324,[Tests] testBug545769_UTF8OutOdd fails on Windows,normal,4
325,UI Freeze of approx 40 seconds on opening Launch Configuration Dialog,major,2
326,Provide Platform.getLog(.class) method,normal,4
327,Java container support shows image id rather than repo tag,normal,4
328,Jenkins job can't connect to Nexus/Sonatype/OSSRH,blocker,0
329,Improve performance of annotation column painting,normal,4
330,Enable read access to all ee4j Jenkins instances for ee4j contributors,normal,4
331,testJava4Environment fails on one platform,normal,4
332,Disable UI monitoring in dev mode,normal,4
333,[13] yield in a non-paranthesized if block is flagged as an error,normal,4
334,Cleanup PlatformUIPreferenceListener,normal,4
335,[13] Compiler should recognize text blocks even if preview is disabled,normal,4
336,Update Base builder from 4.13 M3 to build 4.13 RC1,normal,4
337,Remove prior to 3.1 check in EditorRegistry#readResources,normal,4
341,Deploy ecj compiler from 4.13 M3 and use it for 4.13 RC1 build,normal,4
342,Improve performance of EditorRegistry#readResources,normal,4
343,Help hovers cause NPE when help is not available,normal,4
344,Remove preference settings for DOCK_PERSPECTIVE_BAR,normal,4
346,Remove preference settings for SHOW_TRADITIONAL_STYLE_TABS,normal,4
347,[ELK] All ELK algorithm options are not avalaible in VSM,normal,4
348,Update Plug-in and product version number for 1.11.0 release,normal,4
349,Design 1.11. splash screen,normal,4
351,Replace Activator log calls in org.eclipse.ui.internal.monitoring.MonitoringPlugin with standard log calls,normal,4
352,[ELK] Do not call BorderItemAwareLayoutProvider when an ELK layout algorithm is used.,normal,4
354,Remove unused API filter,normal,4
355,[JUnit 5] Cannot run Jupiter tests in a project with module-info.java after upgrade to JUnit 5.5.1,critical,1
356,Add preference change listener to status line,minor,3
357,[release] ecd.dirigible 4.0.0,normal,4
358,Delete Navigator view (ResourceNavigator impl) after August 2021,normal,4
359,Update build and version to work with 2019-09 and new CI infrastructure,normal,4
361,Remove usage of InternalPlatform#log and delete method,normal,4
362,Project Explorer should support Navigator View properties,normal,4
363,Http whiteboard bundle declares duplicate osgi.implementation capability via p2.inf,normal,4
364,Shell.getBounds() wrong when shell is maximized.,normal,4
365,[ELK] Improve ELK graph transformation,normal,4
367,eclipse IDE is not getting downloaded showing server error,critical,1
368,[release] locationtech.proj4j 1.1.0,normal,4
369,ide not working properly,critical,1
371,UI freeze of 15s on enabling word wrap in file with marker,normal,4
372,Error resolving overloaded conversion operators when one of them is a template,normal,4
373,Open Resource should prefer .java files over .class files,normal,4
375,NoSuchMethodError: java.nio.ByteBuffer.limit(I)Ljava/nio/ByteBuffer;,normal,4
376,Error is displayed and unable to update the software in Neon.3 Release (4.6.3),normal,4
377,Login is not working,blocker,0
378,GatewayValidator ignores MIXED type,normal,4
379,org.eclipse.core.runtime.feature is missing jobs,normal,4
380,[compiler] Bogus compile error observed on team CheckUniqueCallinCapture,normal,4
381,update org.eclipse.license from 2.0.0 to 2.0.2,normal,4
382,[model] undue caching of module while moving / renaming module-info.java,normal,4
383,Update 4diac IDE to EPL 2.0,blocker,0
384,Update 4diac FORTE to EPL2.0,blocker,0
385,Marketplace search produces an error,trivial,5
386,logging is limited to WARN,normal,4
387,Undocumented Status value CLOSED,normal,4
388,Error launching the IDE,critical,1
389,[model] IllegalArgumentException below FieldData.toString() triggered by chain completion,normal,4
390,"""Save Resources"" dialog shown when closing RCP app and should not be",normal,4
391,WONTFIX ticket can have status RESOLVED,normal,4
392,All the slaves for Releng JIPP are down,blocker,0
394,Crash at creation of Combo SWT.READ_ONLY,major,2
395,Solutions with EPL 2.0 are filtered out from MPC API responses,critical,1
397,AERI down?,normal,4
399,Git Staging: Commit button becomes disabled and remains so,normal,4
402,Improve logging in org.eclipse.core.databinding,normal,4
403,Plug-in start level and autostart configuration for system bundles is ignored,normal,4
404,Remove all p2.inf files that try to simulate the Provide-Capability manifest header,normal,4
405,[C++ Gen] NullPointerException during cpp state machine generation,blocker,0
406,Legacy tabs: processing afterTab elements leads to wrong order,normal,4
407,Layouting issues on nabula dialog (opal) for Exception and input,normal,4
409,Mark BookmarkNavigator and related API for deletion,normal,4
410,Severe rednering bug when scrolling editor on Mac OS,normal,4
411,[Dark Theme] Variables and Expressions View Icons too dark,normal,4
412,Adding  jar for chemistry-opencmis-osgi-client-1.1.0.jar,normal,4
413,[Model2Doc] The framework must provide a tool to create a DocumentPrototype from a DocumentTemplate,normal,4
414,Showing all mailing lists is broken when logged in,major,2
415,[visitors] Generated accept is not fully extensible.,normal,4
416,[C++ Gen] Non initialized property causing execution error,normal,4
417,[C++ Gen] State machine code generation with empty loop causes execution issues,normal,4
418,[release] rt.jetty 10.0.0,normal,4
419,[quick assist][rulers] Quick Assist light bulb no longer works,major,2
420,Cannot publish local branch to Github,normal,4
421,Performance loss in Composite.WM_paint(),blocker,0
422,tmf: java.lang.IllegalArgumentException in state system explorer for experiment with 1 empty trace,normal,4
423,[release] ee4j.jakartaee-platform 8.0.0,normal,4
424,[release] ee4j.faces 2.3.0,normal,4
425,Update latest Java release version for JavaSE_10_Plus,normal,4
426,Eclipse 4.13 prerequisites for RC1: Orbit,normal,4
427,Nightly Build IDE Update Error,normal,4
428,"Remove info message ""... was detected to be hosted by a Gerrit server""",normal,4
429,Remove 3.4 preference migration in org.eclipse.equinox.p2.ui.sdk.scheduler,normal,4
430,Supported tags,normal,4
431,[performance] Filtering plugins in About dialog is slow,minor,3
432,Sonar related build problem in CapellaStudio,normal,4
433,Drop Shell editor modules,normal,4
434,Capella - [XHTMLDocGen] static character encoding for the generated pages,normal,4
435,Update Base builder from 4.13 RC1 to build 4.13 RC2,normal,4
436,Deploy ecj compiler from 4.13 RC1 and use it for 4.13 RC2 build,normal,4
438,Improve and deprecate TextUtilities.indexOf,normal,4
439,"ArrayStoreException in indexer, eventually causes indexer to shut down",major,2
441,Linuxtools GCov incorrectly interprets data files generated by gcc version 9.1,major,2
443,Remove .project files from apitools/org.eclipse.pde.api.tools.tests/test-builder data,normal,4
444,DAP based breakpoints are interferring with normal CDT breakpoints,blocker,0
445,show users the configured runtime,normal,4
446,ClassFile.addFieldInfos throws ArrayIndexOutOfBoundsException - part 2,normal,4
447,Grant access to projects storage service to the Jenkins instance of project Eclipse Kuksa,normal,4
448,Use shorter restart text after installation,normal,4
450,Managing alerts for vulnerability - Codewind,critical,1
451,Upload file size limit is incorrect,normal,4
452,Text editor status line shows selection size even after disabling the preference,normal,4
453,Codewind build with docker build agent is failed with 'no space left on device' message,blocker,0
454,[metatype] avoid reloading the same ResourceBundle multiple times,normal,4
455,Tune Gerrit cache settings,normal,4
456,[content assist] Null pointer exception in the code autocomplete in ChainCompletionProposalComputer,major,2
457,Support BouncyCastleFipsProvider for GPG related code,normal,4
458,NullPointerException compiling aspect using @DeclareParents to implement interface,normal,4
459,502 error in jenkins build,critical,1
460,Readme file for 4.13,normal,4
461,N&N for 4.13,normal,4
462,Do the Javadoc bash for 4.13,normal,4
463,[GTK] Ability to place not digit characters to DateTime,normal,4
464,[14] Support for Java 14,normal,4
467,Investigate freeze on clicking on tracing tab of Launch Configuration Dialog,normal,4
468,Menu icons are not shown at proper position,minor,3
469,[Refactor] Move ConvertAnonymousToNestedRefactoring into jdt.core.manipulation for the use of jdt.ls,normal,4
470,"Wrong ""No return"" warning",normal,4
471,[AF][Doc] The documentation concerning switch of architecture viewpoint should be modified,normal,4
472,JIPP Request for project Che4z,normal,4
474,StagingView: catch RuntimeExceptions during commit,normal,4
475,[Model2Doc] change required feature into dependent feature,normal,4
476,[Model2Doc] The bundle tests don't found the Model2Doc plugins on hudson to check them,normal,4
477,Create JDT and Platform porting guides for 4.13 and update links in Welcome page,normal,4
478,[GTK3] Swing components keep the focus when coming back to SWT widgets,critical,1
479,"[13] Remove JCP disclaimers from code, UI and marketplace",normal,4
480,Eclipse IDE for Java EE Developers NEON 4.6 - Maven project,critical,1
481,[Table] Papyrus must provide a tools to create easily a TableConfiguration from an existing Table,normal,4
482,`variables` invoked too many times and lead to too many request and potentially erroneous display,normal,4
483,[13] Create examples wiki page,normal,4
484,4.13 Acknowledgements,normal,4
485,Using EE 11 or 12 with JRE 13 and no module-info.java results in compile error (Object not found),blocker,0
486,"[freeRTOS] Timer is using posix timer, which is not always available",normal,4
487,Fatal error during semantic analysis of recursive ASN.1 type,normal,4
488,"When dragging/scrolling in the calendar of a DateField, pressing ESC will cause a UI error",minor,3
489,Incorrect float2str result,normal,4
490,org.eclipse.jgit.nls.NLS creates still a memory leak,normal,4
491,Allow ports on mqtt.eclipse.org vserver,normal,4
492,while enter the invalid id does not show the error message,normal,4
493,Opening the datepicker with the button is not working after picker is closed via the button,normal,4
494,Crash when opening Code Style Formatter in CDT,normal,4
495,"[AF] When switch viewpoints, the editors not managed by current viewpoints must be closed",normal,4
496,Add contributing entry to help menu,normal,4
497,"Actions pane on the Context tab is too small, and cannot be resized",normal,4
498,"""Save Resources"" dialog - new button name causing confusion",normal,4
499,MWE and JIRO,normal,4
500,Stored procedures not supporting named parameters for Oracle,normal,4
501,NPE in tycho pomless aggregation,normal,4
502,Babel server is not ready for PHP 7,normal,4
503,MAT macOS binaries should be signed for apple's gatekeeper,normal,4
504,Java heap space error - eclipse exits,normal,4
505,Declare 4.13 RC1,normal,4
506,Remove activator from org.eclipse.core.filesystem,normal,4
508,Remove activator from org.eclipse.e4.tools.preference.spy,normal,4
509,Provide access to bundle preference store outside AbstractUIPlugin,normal,4
510,Please remove tools.shellwax bugzilla component,normal,4
511,[JAWS] checked state not read correctly for CheckboxTableViewer,normal,4
512,Incremental builder stops showing squiggles,normal,4
513,org.eclipse.swt.SWTError: No more handles error when 10K Hyperlinks are created,critical,1
514,Unable to run junit tests from context menu,major,2
515,[room.ui] Unresolved elements cause error popup in editor,normal,4
516,"No Error for Transition Event as ""None"" without any condition",normal,4
517,Rename dialog shown after inline editing,normal,4
518,[13] Text Block: Handle tabs in text Block in the editor,normal,4
519,Allow custom fonts in TimeGraphControl,normal,4
520,Undocumented Status value NEW,normal,4
521,Please make glassfishrobot admin of https://github.com/eclipse-ee4j/jta-api,major,2
522,Request to delete branch on scout/org.eclipse.scout.rt,normal,4
523,Access to Eclipse Packager staging repository on Maven Central,normal,4
524,[AF] Diagrams and tables should be visible even if its viewpoint is not enable,normal,4
525,[AF] The diagrams and tables icons of disabled viewpoint should be grayed,normal,4
526,[AF] Double-click on diagrams and tables icons of disabled viewpoint should open a dialog to enable viewpoint,normal,4
527,Auto-share sets session property org.eclipse.team.core:repository for project at git ignored location,normal,4
528,Please disable all of Eike Stepper's cronjobs,normal,4
