bugID,TextDescription,cl,pd,co,rp,OS,bs,rs,Priority,Severity
125026,PDF Export Dialog conformation to Print Dialog required,Code,General,ui,All,All,CONFIRMED,,P2,Normal
125028,Attempt to scroll spreadsheet left actually scrolls right,Application,Calc,ui,Mac,Mac OS X 10.7,CLOSED,DUPLICATE,P3,Normal
125030,CRASH when open edit mode copy of older document.odt version,Code,General,ui,All,Windows 7,CLOSED,DUPLICATE,P3,Major
125031,Replace All hits rows hidden by filter,Application,Calc,code,All,"Mac OS X, all",CLOSED,DUPLICATE,P3,Normal
125032,Broken link: in bug writing guidelines for text definition of issue priorities,Infrastructure,Infrastructure,Website general issues,All,All,CLOSED,FIXED,P3,Minor
125033,Multi Paragraph Selection confuses paragraph order,Application,Writer,printing,All,Windows 7,UNCONFIRMED,,P3,Normal
125034,unable to view rtf diagnol and horizontal lines in 4.0.1 but it can be viewed in msword,Application,Writer,open-import,All,All,CLOSED,DUPLICATE,P3,Normal
125035,ooxml: Create a new framework for the parsing of OOXML documents.,Code,General,code,All,All,CONFIRMED,,P3,Normal
125036,CRASH when open particular .RTF,Application,Writer,open-import,All,Windows 7,UNCONFIRMED,,P3,Normal
125037,DOC file associations removed during installation,Application,Installation,ui,PC,Windows XP,CLOSED,IRREPRODUCIBLE,P3,Major
125038,migrate cppunit tests to gtest,Code,Build Tools,code,All,All,ACCEPTED,,P3,Normal
125039,"Menu layout problems in RTL installations (Hebrew/Arabic), concerning Checkmark",Application,Writer,ui,PC,Windows 7,UNCONFIRMED,,P3,Minor
125040,Redundant <emph/> tags in Help/Documentation,Code,General,help,All,All,RESOLVED,FIXED,P3,Minor
125041,"I have a perfectly legit font (Regular, italic, bold, and bold italic installed) and OO doesn't recognize the Regular one.",Application,Writer,formatting,Mac,OS X 10.9,UNCONFIRMED,,P3,Normal
125042,TOC looses hyperlink formatting when updated,Application,Writer,formatting,All,Windows 7,CONFIRMED,,P3,Normal
125043,Typo in Help string 14922890,Code,General,help,All,All,CLOSED,NOT_AN_OOO_ISSUE,P3,Trivial
125047,Bug in the what's new for English Dictionaries,Unclassified,App Dev,api,PC,"Windows 8, 8.1",UNCONFIRMED,,P3,Normal
125048,Crash when click Tools - Options - OO - Colors,Application,Writer,ui,All,Windows 7,CLOSED,OBSOLETE,P2,Major
125049,Tools - Customize - Keyboard Shortcuts: user changes lost after update,Application,Installation,ui,PC,Windows XP,CLOSED,OBSOLETE,P3,Normal
125050,Comment/Annotation applies to wrong table selection,Application,Writer,code,All,All,CLOSED,FIXED,P2,Normal
125052,Wildcards behaving unexpectedly in pivot table,Application,Calc,editing,All,All,UNCONFIRMED,,P3,Normal
125053,"No matter what direction you swipe horizontally, it always scrolls to right",Application,Calc,programming,Mac,"Mac OS X, all",CLOSED,DUPLICATE,P3,Major
125054,Cannot Install 4.0.1 because of error 1316,Application,Installation,code,PC,"Windows, all",CLOSED,NOT_AN_OOO_ISSUE,P3,Trivial
125055,Opening some documents is much slower in AOO 4.1,Application,Writer,ui,All,All,CLOSED,FIXED,P3,Normal
125056,oO 4.1 spreadsheet crashes,Application,Calc,configuration,PC,Windows 7,CLOSED,NOT_AN_OOO_ISSUE,P3,Normal
125057,"Check box form control prints ""x"" instead of tick-hook",Code,General,ui,PC,Windows 7,CONFIRMED,,P3,Normal
125058,[Sidebar] HANG when try to add new presentation style,Application,Impress,ui,All,All,CONFIRMED,,P2,Normal
125060,install_blocked,Code,General,accessibility,PC,Linux 64-bit,CLOSED,IRREPRODUCIBLE,P3,Blocker
125061,File – Save will destroy styles.xml,Code,General,ui,All,Windows 7,UNCONFIRMED,,P1 (highest),Normal
125062,CRASH when print selection for checkbox form field,Application,Draw,printing,All,Windows 7,CONFIRMED,,P2,Major
125063,errors on graphic objects included into writer documents,Application,Writer,help,PC,Windows 7,CLOSED,DUPLICATE,P3,Normal
125064,inputfield for variable changes its assignment in hidden paragraphs,Application,Writer,editing,All,All,CONFIRMED,,P3,Normal
125065,FillStyle controls in Toolbar 'Drawing Object Properties' do not update correctly in Writer and Calc,Code,General,ui,All,All,CLOSED,FIXED,P3,Normal
125066,Move/Copy Sheet loses correspondence between data and graphs,Application,Calc,editing,PC,Windows 7,UNCONFIRMED,,P3,Major
125067,Unable to select open office platform and version in download page,Infrastructure,Infrastructure,Downloads,Mac,OS X 10.9,CLOSED,FIXED,P2,Blocker
125068,Desk Top Icon,Code,General,ui,All,All,CLOSED,FIXED_WITHOUT_CODE,P3,Minor
125069,Multiple thumbnail pics as grayscale,Application,Base,code,All,All,UNCONFIRMED,,P3,Normal
125070,Spanish download page not working,Infrastructure,Infrastructure,Downloads,All,All,CLOSED,FIXED,P2,Critical
125071,"When saving as doc, odt file crashes and immediately recovers",Application,Writer,save-export,All,All,CLOSED,FIXED,P2,Normal
125072,OOo cannot correctly import ODF with modified default styles in non-English UI,Application,Writer,code,All,All,CLOSED,FIXED,P3,Major
125073,English (US) Spell Checking Not working,Application,Writer,formatting,PC,Windows 7,CLOSED,DUPLICATE,P3,Major
125074,Table of Contents fails for items with four characters or less,Application,Writer,formatting,All,"Linux, all",CLOSED,IRREPRODUCIBLE,P3,Major
125075,4.1.0 Crashes on Windows 8.1 Update 1,Application,Writer,open-import,PC,Other OS,CLOSED,IRREPRODUCIBLE,P3,Critical
125076,Unexpected localization of boolean values,Application,Calc,programming,All,Windows 7,UNCONFIRMED,,P3,Normal
125077,Question about extension updates giving unexpected choices.,Application,Installation,update notifications,PC,Windows 7,CLOSED,NOT_AN_OOO_ISSUE,P3,Normal
125079,Unable to install on my iMac,Application,Installation,code,All,Mac OS X 10.6,CLOSED,NOT_AN_OOO_ISSUE,P3,Normal
125080,Unable to save,Application,Calc,save-export,PC,Windows 7,CLOSED,NOT_AN_OOO_ISSUE,P3,Normal
125081,printing preview shows blank page,Application,Calc,printing,PC,Linux 64-bit,CONFIRMED,,P3,Major
125082,"OFFSET function returns wrong number of rows, if the first cell of external range is empty",Application,Calc,editing,All,All,CLOSED,DUPLICATE,P3,Major
125083,insert option to enable ODF 1.2 encryption AES-256,Code,General,ui,All,All,RESOLVED,FIXED,P3,Normal
125084,update meta data for AOO 4.1.1,Code,General,code,All,All,CLOSED,FIXED,P3,Normal
125085,Inability to Print Comments In Sidebar = Useless in Real World,Application,Writer,editing,PC,Windows Vista,CLOSED,DUPLICATE,P3,Normal
125086,Regression Textfield.user cant be deleted via Script,Unclassified,App Dev,scripting,All,All,CLOSED,FIXED,P3,Normal
125087,Can not sort.,Application,Calc,editing,All,All,CLOSED,NOT_AN_OOO_ISSUE,P3,Normal
125088,"can no longer edit content within a cell without using ""find & replace""",Application,Calc,editing,All,All,CLOSED,NOT_AN_OOO_ISSUE,P3,Normal
125089,Export as Daisy,Application,Writer,save-export,Mac,"Mac OS X, all",CLOSED,DUPLICATE,P3,Critical
125090,The values of upper and lower spacing for default paragraph did the complete opposite.,Application,Impress,formatting,All,All,CLOSED,FIXED,P3,Normal
125094,Can't save to desktop or open files from desktop,Code,General,ui,PC,Windows 7,CLOSED,NOT_AN_OOO_ISSUE,P3,Normal
125095,Writer crashes when scrolling down from first page,Application,Writer,viewing,Mac,"Mac OS X, all",CLOSED,IRREPRODUCIBLE,P3,Major
125096,Corrupt display of documents while scrolling,Application,Writer,ui,Mac,OS X 10.9,CONFIRMED,,P2,Normal
125097,ODS inconsistent between Apache OpenOffice and LibreOffice,Application,Calc,open-import,PC,All,UNCONFIRMED,,P3,Normal
125098,problem with upgrading office 4.10,Application,Installation,update notifications,All,Windows 7,CLOSED,NOT_AN_OOO_ISSUE,P3,Normal
125100,Compatibility,Application,Writer,formatting,PC,Windows 7,CLOSED,NOT_AN_OOO_ISSUE,P3,Normal
125101,Base crashes when calculation included in query,Application,Base,code,Mac,Mac OS X 10.7,CLOSED,NOT_AN_OOO_ISSUE,P3,Normal
125102,pptx open error,Application,Impress,open-import,All,All,CONFIRMED,,P3,Normal
125104,test,Unclassified,App Dev,api,PC,"Mac OS X, all",CLOSED,NOT_AN_OOO_ISSUE,P3,Major
125105,Throw C++ exceptions by value,Code,General,help,All,All,CONFIRMED,,P3,Major
125106,Cells - not all content is changed to new font if imported from excel,Application,Calc,editing,All,All,CLOSED,NOT_AN_OOO_ISSUE,P3,Normal
125107,Too complicated to select custom color,Code,General,ui,All,All,CLOSED,NOT_AN_OOO_ISSUE,P3,Normal
125108,Call pop-up editor for double-click in input field,Application,Writer,ui,All,All,UNCONFIRMED,,P3,Normal
125109,Keyboard shortcut - ctrl-shift-enter for column break does not work,Application,Writer,editing,Mac,"Mac OS X, all",CLOSED,NOT_AN_OOO_ISSUE,P3,Minor
125110,Can't Install Extension!,Unclassified,App Dev,scripting,PC,"Windows 8, 8.1",CLOSED,NOT_AN_OOO_ISSUE,P5 (lowest),Major
125111,Huge memory usage with docs which contain many graphics,Application,Writer,editing,All,"Windows, all",CLOSED,FIXED,P3,Normal
125112,CStringEqual can return true for non-equal c-strings,Code,General,code,All,All,CLOSED,FIXED,P3,Normal
125113,Inconsistent chart formatting when imported from Calc,Application,Impress,formatting,PC,Windows 7,UNCONFIRMED,,P3,Minor
125115,"German Windows: ""unoinfo java"" indicates UTF-16LE encoding, but encoding is not UTF-16",Unclassified,App Dev,api,All,"Windows, all",CLOSED,FIXED,P3,Normal
125116,Handout view shows no content OSX,Application,Impress,printing,Mac,OS X 10.9,CLOSED,DUPLICATE,P3,Minor
125117,SystemShellExecute call from BASIC doesn't pass arguments on Mac OSX but does on Windows,Unclassified,App Dev,api,Mac,"Mac OS X, all",UNCONFIRMED,,P3,Normal
125118,English text in German saving dialog (Dateiformat bestätigen),NLC,Native-Lang,de,All,All,CLOSED,NOT_AN_OOO_ISSUE,P3,Normal
125119,Shift+Delete hangs application,Application,Calc,editing,All,All,UNCONFIRMED,,P3,Minor
125120,Swriter crashes during HTML conversion to PDF,Application,Writer,editing,PC,Windows XP,CLOSED,IRREPRODUCIBLE,P3,Normal
125121,"the tg_ext.mk step for ""make writeable"" takes way too long",Code,Build Tools,solenv,All,All,CLOSED,FIXED,P3,Normal
125122,WW8 import: TOC inside TOC is caused wrong TOC section,Application,Writer,open-import,All,All,CLOSED,FIXED,P3,Normal
125123,read fault error' when using graphics in a word-document - not always but sometimes after a while,Application,Writer,viewing,PC,Windows 7,UNCONFIRMED,,P3,Normal
125124,Issue with text shadowing in DRAW,Application,Draw,formatting,PC,Windows 7,CLOSED,NOT_AN_OOO_ISSUE,P3,Critical
125125,Writer Crash on Mac OSX 10.9.3,Application,Writer,ui,Mac,OS X 10.9,CLOSED,DUPLICATE,P3,Normal
125126,Importer PDF dans Writer sans modification,Application,Writer,open-import,All,All,UNCONFIRMED,,P3,Minor
125127,horizontal scrolling keeps going to the right end of the sheet,Application,Calc,ui,Mac,OS X 10.9,CLOSED,DUPLICATE,P3,Major
125128,toolbar customization hangs when trying to add,Application,Calc,ui,Mac,OS X 10.9,CLOSED,OBSOLETE,P3,Normal
125129,Writer: Insert->Frame->Area crashes,Application,Writer,ui,All,All,RESOLVED,FIXED,P2,Major
125130,Lithuanian (lt) translation update for OpenOffice 4.1.1,NLC,Native-Lang,lt,All,All,CLOSED,FIXED,P3,Normal
125131,Crash with sidebar,Application,Writer,programming,PC,Windows 7,CLOSED,DUPLICATE,P3,Blocker
125132,Saving slows down the program,Application,Writer,save-export,PC,"Windows 8, 8.1",CLOSED,IRREPRODUCIBLE,P3,Normal
125133,Pootle damaged file,NLC,Native-Lang,pt,All,All,CLOSED,FIXED,P3,Normal
125134,Impress continues to crash,Application,Impress,save-export,PC,"Windows 8, 8.1",CLOSED,IRREPRODUCIBLE,P3,Critical
125135,Input in ISO date format is not recognized as a date depending on TimeZone,Application,Calc,editing,PC,"Linux, all",UNCONFIRMED,,P3,Normal
125136,Ruler markers do not reflect actual settings for heading paragraphs,Application,Writer,ui,All,All,CONFIRMED,,P3,Major
125137,Direct formatting indents for heading paragraphs are not exported to .doc,Application,Writer,save-export,All,All,CONFIRMED,,P3,Normal
125139,"Calc crashes when using ""Find"".",Application,Calc,editing,PC,Windows 7,CLOSED,OBSOLETE,P3,Normal
125140,"Bad Allocation error, and a problem with a saved file (so 2 bugs)",Application,Calc,save-export,PC,Windows 7,CLOSED,DUPLICATE,P3,Major
125141,Updates are not saved,Application,Impress,editing,PC,Windows Vista,CLOSED,NOT_AN_OOO_ISSUE,P3,Critical
125142,ImageMap Editor doesn't have a Close title bar button on Gnome3,Application,Writer,configuration,PC,"Linux, all",CONFIRMED,,P3,Major
125143,helpex Export::CopyFile is too slow,Code,Internationalization,helpcontent,All,All,CLOSED,FIXED,P3,Normal
125144,missing dictionaries,Application,Writer,formatting,PC,Windows 7,CLOSED,NOT_AN_OOO_ISSUE,P3,Major
125145,build helpcontent only for enabled languages,Code,Internationalization,helpcontent,All,All,CLOSED,FIXED,P3,Normal
125146,Adding paragraph crashes writer,Application,Writer,editing,PC,"Windows 8, 8.1",CLOSED,IRREPRODUCIBLE,P3,Blocker
125147,CRASH applying styles to text,Application,Writer,formatting,PC,Linux 64-bit,CLOSED,FIXED,P2,Critical
125148,Writer faults when opening a previously created document by same version of writer,Application,Writer,open-import,PC,Windows 7,CLOSED,IRREPRODUCIBLE,P3,Critical
125149,com.sun.star.drawing.Shape XPropertySet does not call propertyChange,Unclassified,App Dev,api,PC,Windows 7,UNCONFIRMED,,P3,Normal
125150,Outline Numbering for Heading 1 not displayed in SXW,Application,Writer,formatting,All,All,CLOSED,OBSOLETE,P3,Normal
125151,"Embedded Images replaced with ""Read-Error"" after File -Save",Application,Writer,viewing,PC,Windows 7,CLOSED,DUPLICATE,P3,Normal
125152,Recently opened and saved documents are blank,Application,Writer,editing,PC,Windows XP,CLOSED,IRREPRODUCIBLE,P3,Normal
125154,"Import sample file, the numbering is small",Application,Writer,editing,All,All,CLOSED,FIXED,P3,Normal
125155,add entry for 4.1.1 in version and latest confirmation fields,Infrastructure,Infrastructure,Bugzilla,All,All,CONFIRMED,,P3,Normal
125156,Writer crashes while opening this file. Other odt were okay.,Application,Writer,editing,PC,"Windows, all",CLOSED,IRREPRODUCIBLE,P3,Normal
125157,Writer crashes while opening this file. Other odt were okay.,Application,Writer,editing,PC,"Windows, all",CLOSED,DUPLICATE,P3,Normal
125158,My Public Key,Infrastructure,Infrastructure,Bugzilla,All,Windows 7,CLOSED,NOT_AN_OOO_ISSUE,P3,Normal
125159,"Bad Allocation error, and a problem with a saved file (so 2 bugs)",Application,Calc,save-export,All,All,CONFIRMED,,P3,Major
125160,Help files are vague,Code,General,help,All,All,CLOSED,NOT_AN_OOO_ISSUE,P3,Normal
125161,OpenOffice Writer crashed on open File,Application,Writer,open-import,PC,Windows 7,CLOSED,IRREPRODUCIBLE,P3,Normal
125162,numbers as dates,Application,Calc,formatting,PC,Windows 7,UNCONFIRMED,,P3,Normal
125163,Cannot set table background using table dialog,Application,Writer,ui,All,All,CLOSED,FIXED,P3,Normal
125165,Newly inserted text becomes emphasized,Application,Impress,ui,Mac,OS X 10.9,UNCONFIRMED,,P3,Normal
125166,Line becomes white while inserting text,Application,Impress,ui,All,All,CONFIRMED,,P3,Normal
125167,Changing background color of table cells no more possible,Application,Writer,ui,All,All,CLOSED,DUPLICATE,P2,Critical
125168,The position of the object changes when I change a zoom rate.,Application,Calc,viewing,All,All,CONFIRMED,,P3,Normal
125169,SEH Fatal error on selecting editing a table,Application,Writer,editing,PC,Windows 7,CLOSED,DUPLICATE,P3,Critical
125171,Linked JPG image not preserved when exported to PDF with loss-less compression,Application,Writer,save-export,All,All,CLOSED,FIXED,P3,Normal
125172,Text-frames anchored-to-page are placed inconsistently in one or another page.,Application,Writer,editing,All,All,CONFIRMED,,P3,Normal
125173,invalid path for TEMP files,Code,General,ui,PC,Windows XP,CONFIRMED,,P4,Normal
125174,"Make edits, save file (increment name), close file, open new file, style edits gone",Application,Writer,editing,PC,Windows 7,UNCONFIRMED,,P3,Normal
125175,reading .csv dates depends on language,Application,Calc,open-import,All,All,CONFIRMED,,P3,Normal
125176,control files have bad permissions,Application,Installation,code,PC,"Linux, all",UNCONFIRMED,,P3,Normal
125177,scatter plot,Application,Calc,formatting,Mac,OS X 10.9,UNCONFIRMED,,P3,Normal
125178,Writer freezes when clearing heading format,Application,Writer,formatting,PC,"Windows 8, 8.1",CLOSED,DUPLICATE,P3,Normal
125179,Opening complex docx document takes several minutes (but succeeds),Application,Writer,open-import,PC,All,CLOSED,FIXED,P3,Critical
125180,Incorrect page number in print preview - request to include pageNo() function,Application,Calc,viewing,All,All,UNCONFIRMED,,P3,Major
125181,"When I Insert Picture from File, it changes the fill of a random shape to a Bitmap of that image.",Application,Draw,editing,Mac,OS X 10.9,UNCONFIRMED,,P3,Major
125182,Update English dictionaries for OpenOffice 4.1.1,Code,General,spell checking,All,All,CLOSED,FIXED,P3,Normal
125183,shadow not working on small caps (on beta version 4.1.1),Application,Writer,formatting,All,"Linux, all",CLOSED,FIXED,P3,Normal
125184,Hangs when applying default format across multiple lines,Application,Writer,formatting,All,Windows 7,CLOSED,DUPLICATE,P3,Critical
125185,"Trying to print an envelope causes Open Office to crash---PLEASE DELETE, I FIGURED IT OUT.  SORRY TO BOTHER YOU.",Application,Writer,printing,PC,Windows 7,CLOSED,NOT_AN_OOO_ISSUE,P3,Major
125186,Custom keyboard shortcut modifier keys are wrong,Application,Writer,ui,All,"Mac OS X, all",UNCONFIRMED,,P3,Normal
125187,PPT-import: Some rare cases with missing graphic,Application,Impress,open-import,All,All,CLOSED,FIXED,P3,Normal
125188,Crash after saving in XLS format an original Excel file,Application,Calc,save-export,All,All,CONFIRMED,,P3,Normal
125189,Derivation of FillStyle for Writer Frames goes wrong in special case,Application,Writer,formatting,All,All,CLOSED,FIXED,P3,Normal
125190,OpenOffice writer stops responding on open or insert html file,Application,Writer,open-import,All,All,CLOSED,DUPLICATE,P3,Normal
125191,SOFFICE.EXE' Doesn't execute.,Application,Base,help,PC,"Windows 8, 8.1",CLOSED,NOT_AN_OOO_ISSUE,P3,Trivial
125192,Cell formatting reverts back to original formatting after closing of cell formatting window,Application,Calc,formatting,PC,"Windows 8, 8.1",CLOSED,IRREPRODUCIBLE,P3,Normal
125193,crash with comments and table row selected,Application,Writer,formatting,Mac,All,CLOSED,DUPLICATE,P3,Normal
125194,Cannot work with shared documents on Sharepoint webdav,Code,General,code,All,Windows 7,CLOSED,FIXED,P3,Major
125195,Can't delete junk styles,Application,Writer,editing,PC,Windows 7,CLOSED,NOT_AN_OOO_ISSUE,P3,Major
125198,Installation: Error 1310_error writing to file screen appears during 4.1.1 installation on windows 7,Application,Installation,ui,All,Windows 7,CLOSED,NOT_AN_OOO_ISSUE,P4,Minor
125199,"""Repeat Heading"" and ""Table-Alignment""-settings are lost when saving as doc (Microsoft Word 97/2000/XP)",Application,Writer,save-export,All,All,CONFIRMED,,P3,Normal
125200,Broken link: Writer doctionary,Application,Writer,configuration,All,Windows 7,CLOSED,IRREPRODUCIBLE,P3,Normal
125202,Traditonal Chinese (zh-tw) translation from Pootle for AOO 4.1.1,NLC,Native-Lang,zh,All,All,CLOSED,FIXED,P3,Major
125203,Showing wrong frame color since version 4.0.0,Application,Writer,formatting,PC,All,CONFIRMED,,P3,Normal
125204,Add Catalan (ca) language to OpenOffice 4.1.1,NLC,Native-Lang,ca,All,All,CLOSED,FIXED,P3,Normal
125205,justified alignment break the typography,Application,Writer,formatting,Mac,OS X 10.9,CLOSED,DUPLICATE,P3,Normal
125206,Format > Page > Manage > Landscape layout,Code,General,code,PC,Windows XP,UNCONFIRMED,,P3,Normal
125207,Copy/Paste in Form,Application,Base,code,All,All,UNCONFIRMED,,P3,Normal
125208,Update Portuguese-Pt translation,NLC,Native-Lang,pt,All,All,CLOSED,FIXED,P3,Normal
125209,SVG shape with gradient broken into many shapes,Application,Draw,code,All,All,CONFIRMED,,P3,Normal
125210,Web-of-Trust problems with KEYS files,Code,General,code,All,All,CONFIRMED,,P3,Normal
125211,rectangle with gradient -> To Metafile -> Break fails,Application,Draw,editing,PC,Windows 7,CLOSED,FIXED,P3,Normal
125212,File date not updated to new date upon saving,Application,Writer,save-export,PC,"Windows 8, 8.1",CLOSED,NOT_AN_OOO_ISSUE,P3,Normal
125213,Virus checker reports a trojan in the 4.1 windows download,Infrastructure,Infrastructure,Downloads,All,All,CLOSED,NOT_AN_OOO_ISSUE,P3,Normal
125214,First row is not being considered when sorting is applied,Application,Calc,editing,All,All,CLOSED,NOT_AN_OOO_ISSUE,P3,Normal
125215,*.docx import: import of overlapping bookmarks broken,Application,Writer,open-import,All,All,CLOSED,FIXED,P3,Normal
125216,Add Valencian AVL (ca_XV) language to OpenOffice 4.1.1,NLC,Native-Lang,ca-XV,All,All,CLOSED,FIXED,P3,Normal
125217,Printing envelopes causes incorrect document/paper size error on printer,Application,Writer,printing,PC,Windows XP,CLOSED,DUPLICATE,P3,Normal
125218,calc slow saving in xls,Application,Calc,save-export,Mac,OS X 10.8,UNCONFIRMED,,P3,Normal
125220,Update Khmer translations for next release,Code,Internationalization,i18npool,All,All,CLOSED,FIXED,P3,Normal
125221,Crash using Google Input Tools keyboard with Telugu language,Application,Writer,editing,PC,"Windows, all",CONFIRMED,,P3,Normal
125222,embedded OLE object imported with wrong style from PPTX,Application,Impress,open-import,All,All,CLOSED,FIXED,P3,Normal
125223,Unsaved document removed when opening saved document,Code,General,ui,All,All,CLOSED,NOT_AN_OOO_ISSUE,P3,Normal
125224,*.docx import: chart diagram not imported,Application,Writer,open-import,PC,All,CONFIRMED,,P3,Normal
125225,Two suggestions,Application,Writer,save-export,PC,"Windows 8, 8.1",CLOSED,NOT_AN_OOO_ISSUE,P3,Normal
125227,Text in shapes does not respect above spacing,Application,Draw,formatting,All,All,UNCONFIRMED,,P3,Normal
125228,input fields are no longer considered as cell values,Application,Writer,code,PC,Windows 7,CLOSED,FIXED,P3,Major
125229,sum of specific numbers,Application,Calc,programming,PC,Windows 7,CLOSED,DUPLICATE,P3,Major
125230,Libreoffice / Openoffice checkbox compatibility issue,Application,Writer,open-import,PC,"Linux, all",UNCONFIRMED,,P3,Minor
125232,"Unicode Chars with 5-hex-digit Codes Not Displayed in Writer, Even with Supportive Font (works in WordPad)",Application,Writer,editing,PC,Windows XP,UNCONFIRMED,,P3,Normal
125233,Animated .gif files do not play in groups,Application,Impress,viewing,All,All,UNCONFIRMED,,P3,Normal
125234,2 scroolbars blocked at the ends of the sheet,Application,Calc,editing,Mac,"Mac OS X, all",CLOSED,FIXED,P3,Minor
125235,Export to PDF defaults to last used directory,Code,General,ui,PC,Windows Vista,CONFIRMED,,P3,Normal
125236,Crash when disabling sidebar view after undocking and closing sidebar,Code,General,ui,PC,Windows 7,CLOSED,DUPLICATE,P3,Normal
125237,Impress printing notes view in landscape mode,Application,Impress,printing,Mac,OS X 10.9,CLOSED,NOT_AN_OOO_ISSUE,P3,Critical
125238,Msg window keeps reopening,Code,General,code,All,"Windows 8, 8.1",CLOSED,DUPLICATE,P3,Normal
125239,case sensitive sort is not working,Application,Calc,viewing,PC,Linux 64-bit,CLOSED,NOT_AN_OOO_ISSUE,P3,Normal
125240,Scrollbars seem to be blocked for right-most or bottom-most cells,Application,Calc,code,Mac,"Mac OS X, all",CLOSED,DUPLICATE,P3,Normal
125241,Print range 'selected sheets' doesn't work if print dialog is activated from Page preview.,Application,Calc,printing,PC,Windows 7,CLOSED,DUPLICATE,P3,Normal
125242,Gradients embedded in grouped objects do not display in presentation mode,Application,Impress,configuration,All,All,UNCONFIRMED,,P3,Normal
125243,two-finger gesture scroll to left does not work properly,Application,Draw,ui,Mac,"Mac OS X, all",CLOSED,DUPLICATE,P3,Minor
125244,special entry in calc help crashes german AOO,Application,Calc,help,PC,"Linux, all",CONFIRMED,,P3,Normal
125245,Imported Word doc table not displaying properly,Application,Writer,formatting,PC,Windows 7,CLOSED,DUPLICATE,P3,Normal
125246,Vietnamese (vi) translation update for OpenOffice 4.1.1,NLC,Native-Lang,vi,All,All,CLOSED,FIXED,P3,Normal
125247,Improve description of the SWF export option: Macromedia Flash (SWF) -> Adobe Flash Slideshow (SWF),Application,Impress,ui,All,All,CONFIRMED,,P3,Normal
125248,Remove Command Function List in menu Insert,Application,Calc,ui,All,All,UNCONFIRMED,,P3,Normal
125249,Khmer (km) translation update for AOO 4.1.1,NLC,Native-Lang,km,All,All,CLOSED,FIXED,P3,Normal
125250,tables with more rows than fit to an page partly splitted with one row per page,Application,Writer,formatting,All,All,UNCONFIRMED,,P3,Normal
